1934-3655	Current Protocols in Protein Science
1934-9297	Current Protocols in Cytometry
2002-7850	Ageing Science & Mental Health Studies
2348-6112,2348-6104	Asian Mirror
1642-9893,1642-9893	Bohemistyka
2499-1783	Clinical Cases and Reviews in Epilepsy
2542-579X	Current Dentistry
1949-4289	Educational Policy Analysis and Strategic Research
2581-1754,2252-8970	Edukasi Islami Jurnal Pendidikan Islam
2597-4017,1693-7864	JEMA Jurnal Ilmiah Bidang Akuntansi dan Manajemen
2460-0377,1693-2420	JURNAL AKUNTANSI UNIVERSITAS JEMBER
2306-6946,1029-8053	Zhurnal Sotsiologii i Sotsialnoy Antropologii (The Journal of Sociology and Social Anthropology)
0869-5415	Этнографическое обозрение
2503-4588	CHEMPUBLISH JOURNAL
1948-3430	Current Protocols Essential Laboratory Techniques
1934-9254	Current Protocols in Toxicology
2406-047X,0352-9665	Facta Universitatis Series Mathematics and Informatics
2008-1189	Iranian Journal of Operations Research
2279-0594	Journal of Biomedical and Pharmaceutical Research
2508-4348	Journal of Business
2424-5917,1392-3064	Neurologijos seminarai
2588-0969,1390-5473	Podium
2537-1029	حولیة کلیة أصول الدین والدعوة الإسلامیة بطنطا
2535-1990	حولیة کلیة اللغة العربیة بالمنوفیة
2541-8416	Arctic Environmental Research
2411-8524,1607-419X	Arterial’naya Gipertenziya (Arterial Hypertension)
2141-6494	International Journal of Computer Engineering Research
2542-1298	Journal of Medical and Biological Research
2353-1185	Młody Jurysta Kwartalnik Studentów i Doktorantów Wydziału Prawa i Administracji UKSW
2221-9528,2221-9528	New in Ophthalmology № 2 2017
2218-8622,2218-6867	Proceedings of OilGasScientificResearchProjects Institute SOCAR
2412-950X,0131-3878	Radiation and Risk Bulletin of the National Radiation and Epidemiological Registry
2303-5595	РАДОВИ ЧАСОПИС ЗА ХУМАНИСТИЧКЕ И ДРУШТВЕНЕ НАУКЕ
2473-912X	#CritEdPol Journal of Critical Education Policy Studies at Swarthmore College
2040-0330	(Aza)-Morita–Baylis–Hillman Reactions
2358-4130,1414-915X	(Syn)thesis
2346-9986,2250-4591	+E
2040-0233	-Quinone Imide Reactions
2020-0420	-Selective Additions
2020-0447	-Selective and Unsubstituted Nitro-Mannich Reactions
2072-0483	0
2029-7149	18-toji Lietuvos jaunųjų mokslininkų konferencijos ciklo „Mokslas – Lietuvos ateitis” Pastatų inžinerinės sistemos
1960-6176,0769-0959	1895 Mille huit cent quatre-vingt-quinze
1755-1560	19 Interdisciplinary Studies in the Long Nineteenth Century
1533-8606,0148-2076	19th-Century Music
1229-5167	21st centry Political Science Review
2175-4098	21º CIAED - Congresso Internacional ABED de Educação a Distância
1054-7193	291
2053-1583	2D Materials
2190-5738,2190-572X	3 Biotech
2148-1237	3 SEKTÖR SOSYAL EKONOMİ DERGİSİ
2366-4177,1863-8783	360° – Das studentische Journal für Politik und Gesellschaft
2254-3376	3C Empresa Investigación y pensamiento crítico
1078-2192	3C ON-LINE
2254-4143	3C Tecnología_Glosas de innovación aplicadas a la pyme
2254-6529	3C TIC Cuadernos de desarrollo aplicados a las TIC
2329-7670,2329-7662	3D Printing and Additive Manufacturing
2365-6271	3D Printing in Medicine
2092-6731	3D Research
2550-2247,0128-5157	3L The Southeast Asian Journal of English Language Studies
1614-2411,1619-4500	4OR
2052-4595,1746-7500	5 to 7 Educator
2325-7237	A & A Case Reports
1934-7073	A Balance Sheet Approach to Financial Crisis
2594-9675,1415-8973	A Cor das Letras
2376-6662,0011-3255	A Current Bibliography on African Affairs
0569-5554	A I I E Transactions
1738-0863	A Journal of Brand Design Association of Korea
7777-8888	A Journal with Only 1 Volume
1366-6282	A Life in the Day
0096-5359	A M A Archives of Dermatology
0096-5979	A M A Archives of Dermatology and Syphilology
0375-8532	A M A Archives of General Psychiatry
0888-2479	A M A Archives of Internal Medicine
0375-8540	A M A Archives of Neurology
0096-6886	A M A Archives of Neurology & Psychiatry
0096-6339	A M A Archives of Ophthalmology
0096-6894	A M A Archives of Otolaryngology
0096-6908	A M A Archives of Surgery
0096-6916	A M A Journal of Diseases of Children
0895-0237	A new generic and family position for Bufo Borbonica by D Dwight Davis
1488-917X	A Nudge Too Far? A Nudge at All? On Paying People to Be Healthy
0569-8197	A S L E Transactions
1816-112X,1816-112X	A SIMPLIFIED METHOD FOR SEISMIC PERFORMANCE EVALUATION OF STEEL BRIDGE PIERS WITH THIN-WALLED STIFFENED BOX SECTIONS
1984-4182,1516-3210	A&C - Revista de Direito Administrativoe & Constitucional
1113-1114	A-to-Z Guide to Thermodynamics Heat and Mass Transfer and Fluids Engineering
2151-7290,0898-9575	a/b Auto/Biography Studies
1302-8324	A/Z ITU journal of Faculty of Architecture
2288-7180	AAC Research & Practice
2376-0605	AACE Clinical Case Reports
1559-7776,1559-7768	AACN Advanced Critical Care
1079-0713	AACN Clinical Issues Advanced Practice in Acute & Critical Care
1079-0713	AACN Clinical Issues Advanced Practice in Acute and Critical Care
1943-6475	AACR Education book
2325-1611,2325-1603	AADE in Practice
0147-4375	AAESPH Review
2377-9217	AAG Newsletter
0737-1764	AAHE-ERIC/Higher Education Research Report
0891-0162	AAOHN Journal
0149-1423	AAPG Bulletin
1545-0317	AAPI Nexus Policy Practice and Community
2364-9534	AAPS Open
1522-1059	AAPS PharmSci
1530-9932	AAPS PharmSciTech
2380-4076	American Association of Philosophy Teachers Studies in Pedagogy
2445-7221	Aarhus Series on Human Centered Computing
1998-507X,1998-507X	AAS working papers in social anthropology
2056-5747	AASHE Insights
2212-6716	AASRI Procedia
2330-5517,2330-5517	AATCC Journal of Research
2330-5525,1532-8813	AATCC Review
0001-026X	AAUP Bulletin
0892-9904	AAV Today
2164-9731	Ab Imperio
2471-0938	ab-Original
1467-6281,0001-3072	Abacus
2316-9451,2316-9451	Abakós
2448-6132,2007-428X	Abanico Veterinario
1303-0493	Abant İzzet Baysal Üniversitesi Eğitim Fakültesi Dergisi
2147-3064	Abant Izzet Baysal University Graduate School of Social Sciences
2147-1800,2147-1800	Abant Medical Journal
1451-1053	ABC casopis urgentne medicine
2312-203X,2304-2621	ABC Journal of Advanced Research
0001-0383	ABCA Bulletin
2317-6326,0102-6720	ABCD Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)
2357-8114,2318-4965	ABCS Health Sciences
