2002-7850	Ageing Science & Mental Health Studies	Research Desk Inc
2348-6112,2348-6104	Asian Mirror	Marwah Infotech
1642-9893,1642-9893	Bohemistyka	Adam Mickiewicz University Poznan
2499-1783	Clinical Cases and Reviews in Epilepsy	CIC Edizioni Internazionali
2542-579X	Current Dentistry	Bentham Science
2597-4017,1693-7864	JEMA Jurnal Ilmiah Bidang Akuntansi dan Manajemen	Fakultas Ekonomi dan Bisnis Universitas Islam Malang
2460-0377,1693-2420	JURNAL AKUNTANSI UNIVERSITAS JEMBER	UPT Penerbitan Universitas Jember
2306-6946,1029-8053	Zhurnal Sotsiologii i Sotsialnoy Antropologii (The Journal of Sociology and Social Anthropology)	International Foundation for the Support of Social Research and Education Intersozic
0869-5415	Этнографическое обозрение	Akademizdatcenter Nauka
2503-4588	CHEMPUBLISH JOURNAL	"Faculty of Education and Teacher Training, Jambi University"
2406-047X,0352-9665	Facta Universitatis Series Mathematics and Informatics	University of Nis
2008-1189	Iranian Journal of Operations Research	Armenian Green Publishing Co.
2279-0594	Journal of Biomedical and Pharmaceutical Research	Society of Pharmaceutical Tecnocrats
2508-4348	Journal of Business	Korea Business Association
2424-5917,1392-3064	Neurologijos seminarai	Lithuanian Neurological Association
2588-0969,1390-5473	Podium	Universidad EspÃÂ­ritu Santo
2537-1029	حولیة کلیة أصول الدین والدعوة الإسلامیة بطنطا	Egypts Presidential Specialized Council for Education and Scientific Research
2535-1990	حولیة کلیة اللغة العربیة بالمنوفیة	Egypts Presidential Specialized Council for Education and Scientific Research
2541-8416	Arctic Environmental Research	Kniga - Service Agency Ltd.
2411-8524,1607-419X	Arterial’naya Gipertenziya (Arterial Hypertension)	Arterialnaya Gipertenziya
2141-6494	International Journal of Computer Engineering Research	Academic Journals
2542-1298	Journal of Medical and Biological Research	Kniga - Service Agency Ltd.
2353-1185	Młody Jurysta Kwartalnik Studentów i Doktorantów Wydziału Prawa i Administracji UKSW	Uniwersytet Kardynala Stefana Wyszynskiego
2221-9528,2221-9528	New in Ophthalmology № 2 2017	Publishing House Ophthalmology
2218-8622,2218-6867	Proceedings of OilGasScientificResearchProjects Institute SOCAR	Oil Gas Scientific Research Project Institute
2412-950X,0131-3878	Radiation and Risk Bulletin of the National Radiation and Epidemiological Registry	National Medical Research Radiological Centre
2303-5595	РАДОВИ ЧАСОПИС ЗА ХУМАНИСТИЧКЕ И ДРУШТВЕНЕ НАУКЕ	National and University Library of the Republic of Srpska
2473-912X	#CritEdPol Journal of Critical Education Policy Studies at Swarthmore College	Swarthmore College
2040-0330	(Aza)-Morita–Baylis–Hillman Reactions	Georg Thieme Verlag KG
2358-4130,1414-915X	(Syn)thesis	Universidade do Estado do Rio de Janeiro UERJ
2040-0233	-Quinone Imide Reactions	Georg Thieme Verlag KG
2020-0420	-Selective Additions	Georg Thieme Verlag KG
2020-0447	-Selective and Unsubstituted Nitro-Mannich Reactions	Georg Thieme Verlag KG
2072-0483	0	"Science and Education, Ltd."
2029-7149	18-toji Lietuvos jaunųjų mokslininkų konferencijos ciklo „Mokslas – Lietuvos ateitis” Pastatų inžinerinės sistemos	Vilnius Gediminas Technical University
1229-5167	21st centry Political Science Review	21st Century Political Science Association
2175-4098	21º CIAED - Congresso Internacional ABED de Educação a Distância	ABED - Associacao Brasileira de Educacao a Distancia
2053-1583	2D Materials	IOP Publishing
2148-1237	3 SEKTÖR SOSYAL EKONOMİ DERGİSİ	Makale Sistemi/Geomes
2366-4177,1863-8783	360° – Das studentische Journal für Politik und Gesellschaft	Barbara Budrich Publishers
1078-2192	3C ON-LINE	Association for Computing Machinery
2365-6271	3D Printing in Medicine	Springer (Biomed Central Ltd.)
2092-6731	3D Research	Springer-Verlag
2052-4595,1746-7500	5 to 7 Educator	Mark Allen Group
1934-7073	A Balance Sheet Approach to Financial Crisis	International Monetary Fund
0569-5554	A I I E Transactions	Informa UK (Taylor & Francis)
1738-0863	A Journal of Brand Design Association of Korea	Brand Design Association of Korea
7777-8888	A Journal with Only 1 Volume	CrossRef test user
1366-6282	A Life in the Day	Emerald (MCB UP )
0569-8197	A S L E Transactions	Informa UK (Taylor & Francis)
1984-4182,1516-3210	A&C - Revista de Direito Administrativoe & Constitucional	Revista de Direito Administrativo and Constitucional
1113-1114	A-to-Z Guide to Thermodynamics Heat and Mass Transfer and Fluids Engineering	Begell House Inc.
1302-8324	A/Z ITU journal of Faculty of Architecture	"LookUs Bilisim, Ltd."
2288-7180	AAC Research & Practice	the Korean Society for Augmentative and Alternative Communication
2376-0605	AACE Clinical Case Reports	American Association of Clinical Endocrinologists
1943-6475	AACR Education book	American Association for Cancer Research
0147-4375	AAESPH Review	SAGE Publications
2377-9217	AAG Newsletter	Association of American Geographers
0737-1764	AAHE-ERIC/Higher Education Research Report	Wiley (John Wiley & Sons)
2364-9534	AAPS Open	Springer (Biomed Central Ltd.)
2380-4076	American Association of Philosophy Teachers Studies in Pedagogy	Philosophy Documentation Center
2445-7221	Aarhus Series on Human Centered Computing	Aarhus University Library
1998-507X,1998-507X	AAS working papers in social anthropology	Verlag der Osterreichischen Akademie der Wissenschaften
2056-5747	AASHE Insights	GSE Research Limited
2212-6716	AASRI Procedia	Elsevier 
2330-5517,2330-5517	AATCC Journal of Research	American Association of Textile Chemists and Colorists - AATCC
2164-9731	Ab Imperio	Muse - Johns Hopkins University Press
2471-0938	ab-Original	The Pennsylvania State University Press
2448-6132,2007-428X	Abanico Veterinario	Abanico Veterinario
2147-1800,2147-1800	Abant Medical Journal	"LookUs Bilisim, Ltd."
1451-1053	ABC casopis urgentne medicine	Centre for Evaluation in Education and Science
2312-203X,2304-2621	ABC Journal of Advanced Research	Asian Business Consortium
0001-0383	ABCA Bulletin	SAGE Publications
2378-1351	Abdomen	"Smart Science and Technology, LLC"
2213-8609,1687-8280	Abgadiyat	Brill Academic Publishers
0794-6961	Abia State University Medical Students Association Journal	African Journals Online 
2259-3411	Abiotic and Biotic Stress Journal	Research Links Ltd.
2443-0587,2443-0587	Abjadia	Maulana Malik Ibrahim State Islamic University
2472-0496	Abnormal and Behavioural Psychology	OMICS Publishing Group
1536-0687,1086-4822	About Campus	SAGE Publications
2465-2628,2465-2628	ABOUTOPEN	HPS - Health Publishing & Services SRL
2415-2072	Abstract of Applied Sciences and Engineering	Pak Publishing Group
1557-5136,0001-3455	Abstracts in Anthropology	SAGE Publications
1471-6410,0951-0079	Abstracts of Working Papers in Economics	Cambridge University Press
2525-4022	Abusões	Universidade do Estado do Rio de Janeiro UERJ
2362-9215,2362-9142	ACADEME University of Bohol Graduate School and Professional Studies	University of Bohol
2456-7388	Academia Anesthesiologica International	Marwah Infotech
1012-8255	Academia Revista Latinoamericana de Administración	Emerald (MCB UP )
2007-252X	Academia XXII	Universidad Nacional Autonoma de Mexico
0719-9147	Academia y Crítica	Universidad Academia de Humanismo Cristiano
1925-3621	Academic Forensic Pathology	Academic Forensic Pathology International
2333-0783	Academic Journal of Accounting and Economic Researches	Definitive International Institute of Life Science (DIILI Publication)
2281-4612,2281-3993	Academic Journal of Interdisciplinary Studies	Walter de Gruyter GmbH
2520-789X	Academic Journal of Nawroz University	Nawroz University
2474-7521	Academic Journal of Pediatrics & Neonatology	Juniper Publishers
2333-0821	Academic Journal of Psychological Studies	Definitive International Institute of Life Science (DIILI Publication)
2311-3278	Academic Journal of Research in Economics and Management	"Al Manhal FZ, LLC"
2356-9816,2356-9816	Academic Journal of Scientific Miracles	"Academic Journal, Al-Azhar University"
1112-8712	Academic Journal of Social and Human Studies	"Al Manhal FZ, LLC"
2147-4575,2147-4575	Academic Platform Journal of Engineering and Science	Academic Platform Journal of Engineering and Science
2277-3665	Academic Sports Scholar	Laxmi Book Publication
0001-396X	Academic Therapy	SAGE Publications
1040-9777	Academic Therapy Quarterly	SAGE Publications
2091-1106	Academic Voices A Multidisciplinary Journal	Nepal Journals Online
2249-7137	ACADEMICIA An International Multidisciplinary Research Journal	Diva Enterprises Private Limited
2211-8780	Academie voor arbeidsrecht	Boom Uitgevers Den Haag
0896-7911	Academy of Management Best Papers Proceedings	Academy of Management
1990-1993	Academy of Management Executive	Academy of Management
1896-3789	Academy of Management Executive	Academy of Management
1712-7432	Acadiensis Journal of the History of the Atlantic Region / Revue d’histoire de la region atlantique	Muse - Johns Hopkins University Press
1803-9782	ACC Journal	Technical University of Liberac
2455-4707	ACCENTS Transactions on Image Processing and Computer Vision	"Association of Computer, Communication and Education for National Triumph Social and Welfare Society (ACCENTS)"
2455-7196	ACCENTS Transactions on Information Security	"Association of Computer, Communication and Education for National Triumph Social and Welfare Society (ACCENTS)"
2456-3374	Account and Financial Management Journal	Valley International
0218-5563	Accounting and Business Review	World Scientific 
1927-5994,1927-5986	Accounting and Finance Research	Sciedu Press
2544-1450,2543-5485	Accounting and Financial Control	LLC CPC Business Perspectives
2152-2820,2194-6051	Accounting Economics and Law - A Convivium	Walter de Gruyter GmbH
2502-9568	Aceh Journal of Animal Science	"Institute of Postgraduate Studies, Syiah Kuala University"
2020-0064	Acetophenones Substituted on the Aromatic Ring	Georg Thieme Verlag KG
0002-8061	ACI Journal Proceedings	American Concrete Institute
2020-0498	Acid-Catalyzed Protic Solvent Spiroketalization toward Milbemycin	Georg Thieme Verlag KG
1932-2240	ACM Communications in Computer Algebra	Association for Computing Machinery
2153-2184	ACM Inroads	Association for Computing Machinery
1558-2337	ACM SIGACCESS Accessibility and Computing	Association for Computing Machinery
1094-3641	ACM SIGAda Ada Letters	Association for Computing Machinery
0163-5719	ACM SIGART Bulletin	Association for Computing Machinery
1551-3688,1551-3688	ACM SIGBED Review	Association for Computing Machinery
0163-5697	ACM SIGBIO Newsletter	Association for Computing Machinery
2331-9291	ACM SIGBioinformatics Record	Association for Computing Machinery
