@id,subjects
0000-992X,[]
0001-0782,[u'General Computer Science']
0001-0898_0001-0898,[]
0001-2092,[u'Medical\u2013Surgical']
0001-2998,[u'Radiology Nuclear Medicine and imaging']
0001-3765_0001-3765,[u'Multidisciplinary']
0001-4575,"[u'Safety, Risk, Reliability and Quality', u'General Medicine', u'Public Health, Environmental and Occupational Health', u'Human Factors and Ergonomics', u'Law', u'Safety, Risk, Reliability and Quality', u'General Medicine', u'Public Health, Environmental and Occupational Health', u'Human Factors and Ergonomics', u'Law', u'Safety, Risk, Reliability and Quality', u'General Medicine', u'Public Health, Environmental and Occupational Health', u'Human Factors and Ergonomics', u'Law', u'Safety, Risk, Reliability and Quality', u'General Medicine', u'Public Health, Environmental and Occupational Health', u'Human Factors and Ergonomics', u'Law']"
0001-4966,"[u'Arts and Humanities (miscellaneous)', u'Acoustics and Ultrasonics']"
0001-5385_0001-5385,[]
0001-5458,[]
0001-5555,"[u'General Medicine', u'Dermatology']"
0001-5814,"[u'Hematology', u'Oncology']"
0001-6519,[u'Otorhinolaryngology']
0001-6829,"[u'History', u'Sociology and Political Science', u'Cultural Studies', u'Gender Studies']"
0001-6918,"[u'Arts and Humanities (miscellaneous)', u'General Medicine', u'Developmental and Educational Psychology', u'Experimental and Cognitive Psychology']"
0001-6969,"[u'Analysis', u'Applied Mathematics']"
0001-6993_0001-6993,[u'Sociology and Political Science']
0001-706X,"[u'Parasitology', u'General Medicine', u'Infectious Diseases']"
0001-7310,"[u'Dermatology', u'Histology', u'Pathology and Forensic Medicine']"
0001-8325,"[u'Economics, Econometrics and Finance (miscellaneous)', u'Sociology and Political Science', u'Public Administration']"
0001-8686,"[u'Colloid and Surface Chemistry', u'Physical and Theoretical Chemistry', u'Surfaces and Interfaces']"
0002-0443,"[u'General Medicine', u'Leadership and Management']"
0002-0591_0002-0591,[]
0002-1466,"[u'Agricultural and Biological Sciences (miscellaneous)', u'Strategy and Management', u'Economics and Econometrics', u'Finance']"
0002-1881,[]
0002-2667,[]
0002-3329,"[u'General Biochemistry, Genetics and Molecular Biology']"
0002-3337,[]
0002-337X,[]
0002-3388,[u'General Engineering']
0002-3515,[]
0002-399X,[]
0002-5275,[]
0002-5658,[]
0002-8177,[u'General Dentistry']
0002-8320,"[u'Ecology, Evolution, Behavior and Systematics', u'Insect Science']"
0002-8703,[u'Cardiology and Cardiovascular Medicine']
0002-9149_0002-9149,[u'Cardiology and Cardiovascular Medicine']
0002-9254,"[u'Food Science', u'Horticulture']"
0002-9262_0002-9262,[u'Epidemiology']
0002-9343,[u'General Medicine']
0002-936X,"[u'General Medicine', u'General Nursing']"
0002-9378,[u'Obstetrics and Gynaecology']
0002-9394,[u'Ophthalmology']
0002-9610,"[u'General Medicine', u'Surgery']"
0002-9629,[u'General Medicine']
0002-9645,"[u'General Medicine', u'General Veterinary']"
0003-0279_0003-0279,"[u'General Arts and Humanities', u'Cultural Studies']"
0003-1062,"[u'Horticulture', u'Genetics']"
0003-1488,[u'General Veterinary']
0003-2670_0003-2670,"[u'Biochemistry', u'Analytical Chemistry', u'Spectroscopy', u'Environmental Chemistry']"
0003-2778,"[u'Anatomy', u'Pathology and Forensic Medicine']"
0003-2999,[u'Anesthesiology and Pain Medicine']
0003-3006,[u'Anesthesiology and Pain Medicine']
0003-3022,[u'Anesthesiology and Pain Medicine']
0003-3170,[u'Cardiology and Cardiovascular Medicine']
0003-3588,[]
0003-3928,[u'Cardiology and Cardiovascular Medicine']
0003-4266,"[u'Endocrinology', u'General Medicine', u'Endocrinology, Diabetes and Metabolism']"
0003-4487,"[u'Arts and Humanities (miscellaneous)', u'Psychiatry and Mental health', u'Applied Psychology']"
0003-4509,"[u'Pharmaceutical Science', u'Pharmacology']"
0003-4819,"[u'General Medicine', u'Internal Medicine']"
0003-486X,"[u'Statistics, Probability and Uncertainty', u'Statistics and Probability']"
0003-4932,[u'Surgery']
0003-4975,"[u'Cardiology and Cardiovascular Medicine', u'Pulmonary and Respiratory Medicine', u'Surgery']"
0003-5440,[]
0003-5521,"[u'History and Philosophy of Science', u'Anthropology']"
0003-5548,"[u'Animal Science and Zoology', u'Ecology, Evolution, Behavior and Systematics', u'General Medicine', u'Anthropology']"
0003-5599,"[u'General Chemical Engineering', u'General Materials Science']"
0003-5769_0003-5769,[u'Literature and Literary Theory']
0003-682X,[u'Acoustics and Ultrasonics']
0003-6870,"[u'General Medicine', u'Human Factors and Ergonomics', u'Physical Therapy, Sports Therapy and Rehabilitation']"
0003-6900,[u'Mechanical Engineering']
0003-6951_0003-6951,[u'Physics and Astronomy (miscellaneous)']
0003-8911,[]
0003-892X,[]
0003-8997,[]
0003-9829,"[u'Cell Biology', u'Physiology', u'General Medicine']"
0003-9853_0003-9853,"[u'Museology', u'Visual Arts and Performing Arts']"
0003-9969,"[u'Cell Biology', u'General Medicine', u'Otorhinolaryngology', u'General Dentistry']"
0003-9993,"[u'Rehabilitation', u'Physical Therapy, Sports Therapy and Rehabilitation']"
0004-0304,[]
0004-0592_0004-0592,[u'Animal Science and Zoology']
0004-1254_0004-1254,"[u'Public Health, Environmental and Occupational Health', u'Toxicology']"
0004-1955,[u'Pathology and Forensic Medicine']
0004-2730_0004-2730,"[u'General Medicine', u'Endocrinology, Diabetes and Metabolism']"
0004-2749_0004-2749,"[u'General Medicine', u'Ophthalmology']"
0004-2803_0004-2803,[u'Gastroenterology']
0004-282X_0004-282X,"[u'Clinical Neurology', u'Biological Psychiatry']"
0004-3702,"[u'Language and Linguistics', u'Artificial Intelligence', u'Linguistics and Language']"
0004-5411,"[u'Artificial Intelligence', u'Hardware and Architecture', u'Information Systems', u'Software', u'Control and Systems Engineering', u'Artificial Intelligence', u'Hardware and Architecture', u'Information Systems', u'Software', u'Control and Systems Engineering']"
0004-5527,[u'General Medicine']
0004-6299,[]
0004-8011,[]
0004-9158,[u'Forestry']
0004-9425,[]
0004-959X,"[u'Animal Science and Zoology', u'Ecology, Evolution, Behavior and Systematics']"
0004-9697,[u'Literature and Literary Theory']
0005-1098,"[u'Control and Systems Engineering', u'Electrical and Electronic Engineering']"
0005-2728,"[u'Biochemistry', u'Biophysics', u'Cell Biology']"
0005-2736,"[u'Biochemistry', u'Biophysics', u'Cell Biology']"
0005-3600,[u'Music']
0005-7894,[u'Clinical Psychology']
0005-7916,"[u'Arts and Humanities (miscellaneous)', u'Psychiatry and Mental health', u'Clinical Psychology', u'Experimental and Cognitive Psychology']"
0005-7967,"[u'Psychiatry and Mental health', u'Clinical Psychology', u'Experimental and Cognitive Psychology']"
0006-128X_0006-128X,"[u'Literature and Literary Theory', u'Library and Information Sciences']"
0006-2952,"[u'Biochemistry', u'Pharmacology']"
0006-3207,"[u'Ecology, Evolution, Behavior and Systematics', u'Nature and Landscape Conservation']"
0006-3223,[u'Biological Psychiatry']
0006-5471,"[u'Agronomy and Crop Science', u'Animal Science and Zoology', u'Soil Science']"
0006-6982,"[u'Ecology', u'Management, Monitoring, Policy and Law', u'Nature and Landscape Conservation']"
0006-8705_0006-8705,"[u'General Agricultural and Biological Sciences', u'Materials Science (miscellaneous)']"
0006-8993_0006-8993,"[u'Developmental Biology', u'Molecular Biology', u'Clinical Neurology', u'General Neuroscience']"
0007-070X,[u'Food Science']
0007-1269,"[u'Arts and Humanities (miscellaneous)', u'General Psychology']"
0007-4497,[u'General Mathematics']
